,is_goal,x,y,shot_body_part,shot_type,play_pattern
2356,0,112.5,42.1,Head,Open Play,From Corner
2357,0,90.9,39.9,Right Foot,Open Play,From Corner
2358,0,103.1,52.5,Right Foot,Open Play,From Throw In
2359,1,116.6,38.6,Head,Open Play,From Corner
2360,0,112.4,35.8,Head,Open Play,From Throw In
2361,0,102.6,39.7,Right Foot,Open Play,From Free Kick
2362,0,102.6,30.4,Right Foot,Open Play,From Goal Kick
2363,0,109.9,32.8,Right Foot,Open Play,From Free Kick
2364,0,99.1,38.2,Left Foot,Open Play,Regular Play
2365,0,106.1,28.7,Right Foot,Open Play,From Throw In
2366,0,101.7,42.1,Right Foot,Open Play,From Free Kick
2367,1,113.0,34.4,Right Foot,Open Play,From Counter
2368,1,105.7,52.0,Right Foot,Open Play,Regular Play
2369,0,97.7,21.6,Left Foot,Open Play,From Kick Off
2370,0,100.5,21.8,Right Foot,Free Kick,From Free Kick
2371,0,88.8,42.7,Right Foot,Open Play,From Free Kick
2372,0,106.7,23.5,Right Foot,Open Play,Regular Play
2373,0,116.3,45.8,Head,Open Play,From Corner
2374,0,103.2,35.7,Right Foot,Open Play,From Corner
2375,0,80.2,44.3,Right Foot,Open Play,From Free Kick
2376,0,113.4,39.8,Head,Open Play,From Corner
2377,1,107.3,37.9,Head,Open Play,From Free Kick
5290,0,94.6,25.9,Right Foot,Open Play,From Free Kick
5291,0,81.4,40.8,Right Foot,Free Kick,From Free Kick
5292,0,114.1,51.3,Right Foot,Open Play,From Throw In
5293,0,103.3,39.2,Left Foot,Open Play,Regular Play
5294,0,93.2,26.4,Right Foot,Open Play,Regular Play
5295,0,112.5,48.3,Right Foot,Open Play,Regular Play
5296,1,104.4,39.5,Left Foot,Open Play,From Goal Kick
5297,0,104.1,55.3,Right Foot,Open Play,From Throw In
5298,0,107.6,26.4,Left Foot,Open Play,From Throw In
5299,0,99.2,29.5,Left Foot,Open Play,From Throw In
5300,0,95.6,33.9,Right Foot,Open Play,From Corner
5301,0,111.5,36.5,Head,Open Play,From Free Kick
5302,0,95.2,23.8,Right Foot,Open Play,Regular Play
5303,0,106.3,36.6,Right Foot,Open Play,Regular Play
5304,0,100.2,28.0,Right Foot,Open Play,Regular Play
5305,0,115.9,43.1,Head,Open Play,From Corner
5306,0,103.4,44.7,Left Foot,Open Play,Regular Play
5307,0,113.1,37.2,Head,Open Play,From Corner
5308,0,104.0,45.7,Right Foot,Open Play,From Corner
5309,0,92.5,43.8,Right Foot,Open Play,From Corner
5310,1,112.9,38.7,Head,Open Play,From Throw In
5311,0,112.5,37.9,Head,Open Play,From Free Kick
5312,0,111.5,39.8,Head,Open Play,From Corner
5313,0,114.1,36.3,Head,Open Play,From Corner
5314,0,109.4,38.9,Head,Open Play,From Free Kick
5315,0,99.1,30.3,Right Foot,Open Play,Regular Play
5316,0,113.3,50.3,Right Foot,Open Play,Regular Play
5317,0,112.3,45.2,Right Foot,Open Play,Regular Play
8697,0,85.9,42.7,Right Foot,Open Play,Regular Play
8698,0,95.6,30.9,Right Foot,Open Play,From Free Kick
8699,0,94.1,46.8,Right Foot,Open Play,From Corner
8700,0,100.2,29.4,Right Foot,Open Play,Regular Play
8701,0,89.8,40.9,Left Foot,Free Kick,From Free Kick
8702,0,87.1,35.2,Left Foot,Open Play,From Counter
8703,0,87.8,42.0,Left Foot,Open Play,From Goal Kick
8704,0,93.3,45.0,Left Foot,Open Play,From Goal Kick
8705,1,104.8,49.3,Left Foot,Open Play,Regular Play
8706,0,105.2,56.2,Right Foot,Open Play,Regular Play
8707,0,114.4,25.7,Left Foot,Open Play,Regular Play
8708,0,96.5,35.4,Left Foot,Free Kick,From Free Kick
8709,0,95.4,50.1,Left Foot,Open Play,From Corner
8710,0,114.0,35.6,Head,Open Play,From Keeper
8711,0,111.0,55.1,Left Foot,Open Play,From Throw In
8712,0,100.1,59.0,Left Foot,Open Play,From Free Kick
8713,0,116.7,47.3,Right Foot,Open Play,From Corner
8714,0,103.8,58.9,Right Foot,Open Play,From Free Kick
8715,0,109.5,33.8,Left Foot,Open Play,From Throw In
8716,0,96.9,36.1,Left Foot,Open Play,Regular Play
8717,0,89.8,50.4,Left Foot,Open Play,From Throw In
8718,1,117.7,35.3,Right Foot,Open Play,From Corner
8719,0,107.9,45.7,Right Foot,Open Play,From Throw In
8720,0,102.5,43.5,Left Foot,Open Play,From Throw In
11797,0,103.1,30.4,Left Foot,Open Play,From Throw In
11798,0,116.3,31.8,Head,Open Play,From Throw In
11799,0,111.6,34.4,Head,Open Play,Regular Play
11800,0,109.6,33.6,Right Foot,Open Play,From Corner
11801,0,110.3,35.9,Head,Open Play,From Corner
11802,0,108.6,38.9,Left Foot,Open Play,From Free Kick
11803,0,92.3,34.8,Left Foot,Open Play,Regular Play
11804,1,111.0,37.8,Right Foot,Open Play,Regular Play
11805,0,111.1,29.5,Left Foot,Open Play,From Kick Off
11806,0,99.1,42.1,Right Foot,Open Play,From Throw In
11807,1,104.2,44.6,Right Foot,Open Play,From Throw In
11808,0,112.8,35.9,Head,Open Play,Regular Play
11809,0,104.0,33.5,Right Foot,Open Play,From Throw In
11810,0,104.6,43.8,Left Foot,Open Play,From Throw In
11811,0,97.4,45.8,Right Foot,Open Play,From Corner
11812,0,105.3,27.8,Left Foot,Open Play,From Free Kick
11813,0,112.8,39.4,Head,Open Play,From Corner
11814,0,100.4,36.5,Right Foot,Open Play,From Counter
11815,0,108.3,25.6,Left Foot,Open Play,From Throw In
11816,0,97.0,47.0,Right Foot,Open Play,From Throw In
11817,0,110.4,37.4,Right Foot,Open Play,Regular Play
11818,0,112.7,34.5,Right Foot,Open Play,Regular Play
11819,0,112.6,39.6,Right Foot,Open Play,From Goal Kick
11820,0,109.1,40.2,Head,Open Play,From Free Kick
11821,0,110.8,27.2,Left Foot,Open Play,Regular Play
11822,0,109.2,56.8,Left Foot,Open Play,From Corner
11823,0,103.0,37.2,Right Foot,Open Play,Regular Play
11824,0,105.6,34.8,Head,Open Play,From Free Kick
11825,0,109.5,39.6,Head,Open Play,From Corner
11826,0,106.0,22.5,Right Foot,Open Play,Regular Play
11827,0,106.5,28.9,Left Foot,Open Play,From Free Kick
11828,0,106.2,41.0,Head,Open Play,Regular Play
11829,1,114.3,30.1,Left Foot,Open Play,Regular Play
11830,0,99.6,48.7,Left Foot,Open Play,Regular Play
11831,1,101.5,40.8,Left Foot,Open Play,Regular Play
15010,0,101.4,16.4,Right Foot,Open Play,Regular Play
15011,0,111.5,50.3,Right Foot,Open Play,Regular Play
15012,1,114.8,31.1,Left Foot,Open Play,From Counter
15013,0,102.0,40.1,Right Foot,Open Play,From Corner
15014,0,94.5,40.9,Right Foot,Open Play,From Free Kick
15015,0,114.5,51.0,Right Foot,Open Play,Regular Play
15016,0,92.3,32.2,Left Foot,Open Play,Regular Play
15017,1,112.9,38.4,Right Foot,Open Play,From Free Kick
15018,0,109.1,27.1,Left Foot,Open Play,From Free Kick
15019,0,102.2,27.5,Left Foot,Open Play,From Throw In
15020,0,92.8,24.8,Left Foot,Open Play,Regular Play
15021,0,102.8,50.5,Right Foot,Open Play,From Throw In
15022,0,107.9,28.8,Left Foot,Open Play,Regular Play
15023,0,94.5,45.5,Left Foot,Open Play,Regular Play
15024,0,96.3,30.1,Left Foot,Open Play,Regular Play
15026,0,112.3,37.0,Head,Open Play,From Corner
15027,1,107.9,27.0,Left Foot,Open Play,Regular Play
15028,1,106.6,31.8,Left Foot,Open Play,From Free Kick
15029,0,99.2,26.7,Right Foot,Open Play,From Throw In
15030,0,108.7,53.8,Left Foot,Open Play,Regular Play
15031,0,89.1,39.1,Right Foot,Open Play,Regular Play
15032,1,116.8,42.3,Head,Open Play,From Corner
18387,0,101.3,54.8,Right Foot,Open Play,From Counter
18388,0,104.9,28.9,Right Foot,Open Play,Regular Play
18389,0,102.2,28.9,Left Foot,Open Play,Regular Play
18390,0,110.5,49.2,Right Foot,Open Play,Regular Play
18391,0,113.2,45.6,Head,Open Play,Regular Play
18392,1,110.8,40.4,Head,Open Play,Regular Play
18393,0,101.1,43.0,Right Foot,Open Play,From Kick Off
18394,0,95.1,31.5,Right Foot,Open Play,Regular Play
18395,1,115.6,41.3,Right Foot,Open Play,From Corner
18396,0,102.7,21.2,Right Foot,Open Play,Regular Play
18397,0,112.8,28.2,Right Foot,Open Play,From Goal Kick
18398,0,103.4,56.6,Right Foot,Open Play,From Free Kick
18399,0,109.9,46.4,Right Foot,Open Play,From Corner
18400,0,97.8,41.5,Left Foot,Open Play,Regular Play
18402,0,105.5,37.3,Left Foot,Open Play,From Corner
18403,0,108.1,55.7,Left Foot,Open Play,From Keeper
18404,0,112.4,28.6,Left Foot,Open Play,Regular Play
18405,0,90.8,47.5,Right Foot,Open Play,From Free Kick
18406,0,91.8,36.2,Right Foot,Open Play,Regular Play
18407,0,110.1,42.0,Head,Open Play,From Goal Kick
18408,0,112.2,38.8,Head,Open Play,From Throw In
18409,0,64.3,40.3,Right Foot,Open Play,Regular Play
18410,0,107.6,51.9,Left Foot,Open Play,From Keeper
18411,1,111.5,50.2,Left Foot,Open Play,Regular Play
18412,1,111.2,37.3,Right Foot,Open Play,Regular Play
22124,0,115.0,35.9,Right Foot,Open Play,From Throw In
22125,0,99.4,50.6,Right Foot,Open Play,Regular Play
22126,1,105.5,45.9,Left Foot,Open Play,Regular Play
22127,0,103.1,40.7,Right Foot,Open Play,From Kick Off
22128,0,96.6,54.6,Right Foot,Open Play,Regular Play
22129,0,96.0,37.2,Right Foot,Open Play,From Throw In
22130,0,118.4,49.7,Right Foot,Open Play,Regular Play
22131,0,117.8,50.9,Right Foot,Open Play,Regular Play
22132,0,111.9,37.9,Left Foot,Open Play,Regular Play
22133,0,101.6,33.8,Right Foot,Open Play,From Free Kick
22134,0,110.1,23.8,Left Foot,Open Play,Regular Play
22135,0,88.1,37.6,Right Foot,Open Play,Regular Play
22136,0,91.2,24.7,Right Foot,Free Kick,From Free Kick
22137,0,105.0,60.1,Left Foot,Open Play,From Free Kick
22138,0,102.2,46.3,Right Foot,Open Play,Regular Play
22139,0,90.2,32.3,Right Foot,Open Play,From Goal Kick
22140,0,102.8,53.7,Left Foot,Open Play,From Throw In
22141,0,100.8,50.7,Left Foot,Open Play,From Throw In
22142,0,104.1,29.2,Left Foot,Open Play,From Throw In
22143,0,115.2,28.7,Right Foot,Open Play,Regular Play
22144,0,106.8,56.6,Left Foot,Open Play,Regular Play
22145,0,111.2,47.7,Right Foot,Open Play,Regular Play
22146,0,109.5,57.2,Right Foot,Open Play,From Throw In
22147,1,96.8,37.7,Right Foot,Open Play,From Throw In
22148,0,93.8,52.4,Right Foot,Open Play,Regular Play
22149,0,100.4,37.0,Right Foot,Open Play,Regular Play
22150,0,90.5,45.3,Right Foot,Open Play,From Corner
25230,0,88.7,31.4,Right Foot,Open Play,From Kick Off
25231,1,97.6,33.9,Right Foot,Open Play,From Corner
25232,0,114.1,39.3,Head,Open Play,From Corner
25233,1,94.2,38.1,Left Foot,Open Play,From Free Kick
25234,0,97.6,55.7,Left Foot,Open Play,Regular Play
25235,0,107.6,50.3,Right Foot,Open Play,From Throw In
25236,0,95.6,33.0,Right Foot,Open Play,Regular Play
